dsystem,code,display,priority,evidence
http://snomed.info/sct,1116000,Chronic aggressive type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,111891008,Viral hepatitis B without hepatic coma (disorder),high,confirmed
http://snomed.info/sct,13265006,Acute fulminating type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,153091000119109,Hepatic coma due to chronic hepatitis B with delta agent (disorder),medium,confirmed
http://snomed.info/sct,165806002,Hepatitis B surface antigen detected (finding),high,confirmed
http://snomed.info/sct,186624004,Hepatic coma due to acute hepatitis B with delta agent (disorder),medium,confirmed
http://snomed.info/sct,186639003,Chronic viral hepatitis B without delta-agent (disorder),medium,confirmed
http://snomed.info/sct,235864009,Acute hepatitis B with hepatitis D (disorder),high,confirmed
http://snomed.info/sct,235865005,Hepatitis D superinfection of hepatitis B carrier (disorder),medium,confirmed
http://snomed.info/sct,235869004,Chronic viral hepatitis B with hepatitis D (disorder),high,confirmed
http://snomed.info/sct,235871004,Hepatitis B carrier (finding),medium,confirmed
http://snomed.info/sct,26206000,Hepatic coma due to viral hepatitis B (disorder),high,confirmed
http://snomed.info/sct,38662009,Chronic persistent type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,406117000,Hepatitis B surface antigen detected by enzyme-linked immunosorbent assay (finding),high,confirmed
http://snomed.info/sct,424099008,Hepatic coma due to acute hepatitis B (disorder),high,confirmed
http://snomed.info/sct,424340000,Hepatic coma due to chronic hepatitis B (disorder),high,confirmed
http://snomed.info/sct,442134007,Hepatitis B associated with Human immunodeficiency virus infection (disorder),medium,confirmed
http://snomed.info/sct,442374005,Hepatitis B and hepatitis C (disorder),medium,confirmed
http://snomed.info/sct,446698005,Reactivation of hepatitis B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,50167007,Chronic active type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,53425008,Anicteric type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,60498001,Congenital viral hepatitis B infection (disorder),medium,confirmed
http://snomed.info/sct,61977001,Chronic type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,66071002,Viral hepatitis type B (disorder),high,confirmed
http://snomed.info/sct,76795007,Acute type B viral hepatitis (disorder),high,confirmed
http://snomed.info/sct,838380002,Chronic hepatitis B co-occurrent with hepatitis C and hepatitis D (disorder),medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B16.0,Acute hepatitis B with delta-agent with hepatic coma,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B16.1,Acute hepatitis B with delta-agent without hepatic coma,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B16.2,Acute hepatitis B without delta-agent with hepatic coma,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B16.9,Acute hepatitis B without delta-agent and without hepatic coma,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B17.0,Acute delta-(super) infection of hepatitis B carrier,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B18.0,Chronic viral hepatitis B with delta-agent,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B18.1,Chronic viral hepatitis B without delta-agent,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B19.10,Unspecified viral hepatitis B without hepatic coma,high,confirmed
http://hl7.org/fhir/sid/icd-10-cm,B19.11,Unspecified viral hepatitis B with hepatic coma,high,confirmed
http://snomed.info/sct,713966008,Occult chronic type B viral hepatitis (disorder),medium,confirmed
http://snomed.info/sct,16859701000119109,Chronic hepatitis B during pregnancy (disorder),medium,confirmed
